Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16
Roseola,High fever,Runny nose,Irritability,Fatigue,Sore throat,Headache,Diarrhea,Vomiting,Abdominal pain,Body aches,Rashes,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Headache,Fatigue,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Chills,Joint pain,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Stomach cramps,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,Chills,,,,,,
Roseola,Irritability,Swollen lymph nodes,Headache,Loss of appetite,Chills,Feverish,,,,,,,,,,
Roseola,High fever,Runny nose,Fatigue,Swollen lymph nodes,Loss of appetite,Rashes,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Vomiting,Bloody stools,Stomach cramps,Dehydration,Loss of appetite,Muscle aches,Rashes,Chills,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Headache,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Joint pain,,,,,
Roseola,Irritability,Fatigue,Sore throat,Red eyes,Diarrhea,Body aches,Rashes,Chills,,,,,,,,
Roseola,Irritability,Swollen lymph nodes,Headache,Cough,Red eyes,Vomiting,Chills,Feverish,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Chills,,,,,,,,,
Roseola,Rash,Irritability,Fatigue,Diarrhea,,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Vomiting,Stomach cramps,Headache,Loss of appetite,Feverish,Rashes,Joint pain,,,,,,,,
Shigellosis (Bacillary Dysentery),Vomiting,Bloody stools,Fatigue,Dehydration,Loss of appetite,General discomfort,,,,,,,,,,
Pertussis (Whooping Cough),Whooping cough,Sneezing,Fever,"Sore, watery eyes",Exhaustion,Sneezing,Low-grade fever,Severe coughing fits,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Bloody stools,Fatigue,Muscle aches,Feverish,Rashes,,,,,,,,
Roseola,Rash,Irritability,Fatigue,Sore throat,Headache,Cough,Vomiting,Abdominal pain,Body aches,Rashes,Chills,,,,,
Norovirus Infection,Vomiting,Muscle aches,Headache,Dehydration,Rashes,General discomfort,Fever,,,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Nausea,Dehydration,Chills,Sweating,Rashes,General discomfort,Fever,Irritability,,,,,,
Roseola,Runny nose,Rash,Fatigue,Headache,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,,,
Norovirus Infection,Headache,Fatigue,Loss of appetite,Body aches,,,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Rash on hands and feet,Loss of appetite,Sore throat,Red spots,Blisters,Cough,Sore muscles,Mild fever,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Sore throat,Mouth sores,Fatigue,Sore muscles,Headache,Mild fever,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Swollen lymph nodes,Sore throat,Cough,Vomiting,Body aches,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Headache,Fatigue,Loss of appetite,Muscle aches,Body aches,Rashes,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Loss of appetite,Mouth sores,Red spots,Blisters,Sore muscles,Headache,Difficulty swallowing,,,,,,,
Norovirus Infection,Vomiting,Muscle aches,Nausea,Abdominal pain,Chills,Sweating,General discomfort,Fever,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Stomach cramps,Dehydration,Feverish,General discomfort,,,,,,,,,,,
Roseola,Runny nose,Rash,Cough,Red eyes,Diarrhea,Vomiting,Loss of appetite,Body aches,Rashes,Feverish,,,,,,
Shigellosis (Bacillary Dysentery),Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Feverish,General discomfort,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Dehydration,Muscle aches,Body aches,Rashes,,,,,,,
Norovirus Infection,Muscle aches,Nausea,Fatigue,Loss of appetite,Dehydration,Rashes,General discomfort,Irritability,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Stomach cramps,Dehydration,Loss of appetite,Muscle aches,General discomfort,Chills,Joint pain,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Muscle aches,Nausea,Fatigue,Dehydration,Sweating,Rashes,Irritability,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Nausea,Headache,Fatigue,Dehydration,Body aches,Fever,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Bloody stools,Stomach cramps,Loss of appetite,Muscle aches,Rashes,General discomfort,Chills,Joint pain,,,,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Sore throat,Headache,Cough,Red eyes,Vomiting,Loss of appetite,Rashes,Chills,Feverish,,,
Norovirus Infection,Stomach cramps,Muscle aches,Headache,Abdominal pain,Loss of appetite,Dehydration,Chills,Body aches,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Vomiting,Bloody stools,Headache,Muscle aches,Rashes,Chills,Joint pain,,,,,,,
Roseola,High fever,Runny nose,Fatigue,Swollen lymph nodes,Headache,Cough,Red eyes,Abdominal pain,Body aches,Rashes,Chills,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Headache,Fatigue,Dehydration,Sweating,Body aches,General discomfort,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Headache,Fatigue,Abdominal pain,Dehydration,Sweating,Body aches,Irritability,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Mouth sores,Red spots,General discomfort,,,,,,,,,,,,
Norovirus Infection,Low-grade fever,Headache,Abdominal pain,Loss of appetite,Chills,Sweating,General discomfort,Fever,Irritability,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Nausea,Fatigue,Dehydration,Body aches,Fever,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Stomach cramps,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,General discomfort,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Sore throat,Cough,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Chills,Feverish,,,,
Norovirus Infection,Vomiting,Stomach cramps,Muscle aches,Nausea,Headache,Fatigue,Dehydration,Sweating,Body aches,Rashes,Fever,Irritability,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Nausea,Abdominal pain,Dehydration,Chills,Rashes,General discomfort,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Vomiting,Bloody stools,Stomach cramps,Fatigue,Dehydration,Muscle aches,Feverish,Rashes,General discomfort,Chills,,,,,
Shigellosis (Bacillary Dysentery),Bloody stools,Headache,Fatigue,Loss of appetite,Muscle aches,Body aches,General discomfort,Joint pain,,,,,,,,
Norovirus Infection,Low-grade fever,Nausea,Headache,Fatigue,Abdominal pain,Loss of appetite,Chills,Body aches,Rashes,General discomfort,Irritability,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Bloody stools,Dehydration,Loss of appetite,Feverish,Rashes,Chills,,,,,,,,
Norovirus Infection,Stomach cramps,Loss of appetite,Dehydration,Sweating,Rashes,,,,,,,,,,,
Roseola,Rash,Sore throat,Cough,Vomiting,Loss of appetite,Abdominal pain,Body aches,Feverish,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Bloody stools,Stomach cramps,Fatigue,Loss of appetite,Body aches,Rashes,General discomfort,Joint pain,,,,,,
Roseola,Rash,Irritability,Fatigue,Headache,Cough,Red eyes,Abdominal pain,Body aches,Rashes,,,,,,,
Roseola,High fever,Irritability,Fatigue,Headache,Cough,Red eyes,Diarrhea,Vomiting,Body aches,Rashes,Chills,,,,,
Roseola,High fever,Rash,Irritability,Fatigue,Swollen lymph nodes,Headache,Cough,Diarrhea,Chills,Feverish,,,,,,
Roseola,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Vomiting,Loss of appetite,Feverish,,,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Muscle aches,Fatigue,Loss of appetite,Sweating,Body aches,General discomfort,Fever,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Headache,Dehydration,Loss of appetite,Muscle aches,Body aches,Rashes,Joint pain,,,,,,,
Norovirus Infection,Vomiting,Muscle aches,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Sweating,Body aches,Rashes,Fever,Irritability,,,,,
Norovirus Infection,Low-grade fever,Headache,Abdominal pain,Loss of appetite,Sweating,Body aches,Rashes,General discomfort,,,,,,,,
Scarlet Fever,Fever,Sore throat,Red rash on the body,Fever (100.4�F / 38.0�C or higher),Difficulty swallowing,"Tender, enlarged neck glands",Abdominal pain,,,,,,,,,
Fifth Disease (Erythema Infectiosum),Fatigue,Sore throat,Mild fever,Headache,Swollen joints,Myalgias,,,,,,,,,,
Norovirus Infection,Low-grade fever,Muscle aches,Nausea,Headache,Loss of appetite,Sweating,Rashes,General discomfort,Fever,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Headache,Fatigue,Dehydration,Loss of appetite,Body aches,Rashes,Joint pain,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Headache,Fatigue,Loss of appetite,Feverish,General discomfort,,,,,,,,
Roseola,Rash,Irritability,Fatigue,Sore throat,Red eyes,Abdominal pain,Body aches,Rashes,Chills,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Vomiting,Bloody stools,Headache,Fatigue,Dehydration,Muscle aches,Feverish,Rashes,General discomfort,Chills,Joint pain,,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Rash on hands and feet,Irritability,Mouth sores,Blisters,Cough,Sore muscles,Headache,Difficulty swallowing,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Fatigue,Loss of appetite,Dehydration,Chills,Sweating,Body aches,Rashes,Fever,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Irritability,Sore throat,Mouth sores,Blisters,Sore muscles,Headache,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Stomach cramps,Fatigue,Dehydration,Loss of appetite,Feverish,Joint pain,,,,,,,,
Strep Throat,Sore throat,Fever,White patches on tonsils,Swollen lymph nodes,Rash,,,,,,,,,,,
Norovirus Infection,Vomiting,Muscle aches,Nausea,Headache,Fatigue,Loss of appetite,Dehydration,Sweating,General discomfort,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Nausea,Headache,Fatigue,Abdominal pain,Sweating,Body aches,Rashes,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Headache,Fatigue,Dehydration,Chills,Sweating,Body aches,Rashes,General discomfort,,,,,
Norovirus Infection,Low-grade fever,Headache,Dehydration,Chills,Body aches,General discomfort,Irritability,,,,,,,,,
Roseola,High fever,Fatigue,Sore throat,Headache,Diarrhea,Body aches,Chills,,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Muscle aches,Abdominal pain,Sweating,Body aches,Rashes,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Stomach cramps,Dehydration,Body aches,Feverish,Rashes,General discomfort,Joint pain,,,,
Roseola,High fever,Rash,Irritability,Fatigue,Sore throat,Headache,Cough,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Stomach cramps,Fatigue,Dehydration,Feverish,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Dehydration,Loss of appetite,Muscle aches,Feverish,Rashes,General discomfort,Chills,,,,,,,
Roseola,Irritability,Fatigue,Swollen lymph nodes,Headache,Red eyes,Loss of appetite,Abdominal pain,Rashes,Chills,Feverish,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Vomiting,Stomach cramps,Headache,Dehydration,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Joint pain,,,,
Roseola,High fever,Swollen lymph nodes,Sore throat,Cough,Diarrhea,Vomiting,Loss of appetite,Body aches,Chills,,,,,,,
Roseola,High fever,Rash,Irritability,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Feverish,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Stomach cramps,Headache,Fatigue,Loss of appetite,Feverish,Rashes,,,,,,
Roseola,Runny nose,Rash,Headache,Red eyes,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Rashes,Chills,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Headache,Fatigue,Body aches,Rashes,General discomfort,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Stomach cramps,Fatigue,Body aches,Feverish,Rashes,General discomfort,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Stomach cramps,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Chills,,,,,,
Norovirus Infection,Vomiting,Headache,Fatigue,Dehydration,Chills,Body aches,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Bloody stools,Headache,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Joint pain,,,
Norovirus Infection,Stomach cramps,Muscle aches,Loss of appetite,Dehydration,Chills,General discomfort,Fever,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Swollen lymph nodes,Sore throat,Headache,Vomiting,Abdominal pain,Body aches,Rashes,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Nausea,Headache,Abdominal pain,Loss of appetite,Dehydration,Sweating,Body aches,Irritability,,,,,
Common Cold,"Stuffy, runny nose",Sneezing,Watering eyes,Mild fatigue,,,,,,,,,,,,
Pertussis (Whooping Cough),Whooping cough,Nasal discharge,"Sore, watery eyes",Severe coughing fits,Vomiting after coughing,,,,,,,,,,,
Roseola,High fever,Runny nose,Irritability,Swollen lymph nodes,Sore throat,Headache,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Rashes,Feverish,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Vomiting,Bloody stools,Stomach cramps,Dehydration,General discomfort,Chills,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Nausea,Headache,Loss of appetite,Dehydration,Chills,Sweating,Body aches,Rashes,General discomfort,Fever,Irritability,,,
"Hand, Foot, and Mouth Disease",Fever,Irritability,Mouth sores,Fatigue,Cough,Headache,General discomfort,Mild fever,,,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Rash on hands and feet,Mouth sores,Blisters,Headache,General discomfort,Difficulty swallowing,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Bloody stools,Stomach cramps,Loss of appetite,Muscle aches,General discomfort,Joint pain,,,,,,,
Norovirus Infection,Diarrhea,Nausea,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Chills,Body aches,Rashes,Fever,Irritability,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Loss of appetite,Dehydration,Sweating,Body aches,Rashes,General discomfort,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Headache,Loss of appetite,Body aches,Feverish,Rashes,General discomfort,Chills,Joint pain,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Nausea,Headache,Fatigue,Abdominal pain,Loss of appetite,Chills,Body aches,General discomfort,,,,
Shigellosis (Bacillary Dysentery),Vomiting,Stomach cramps,Headache,Loss of appetite,Muscle aches,General discomfort,Chills,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Body aches,Rashes,Chills,Joint pain,,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Mouth sores,Fatigue,Cough,Headache,Mild fever,,,,,,,,,,
Norovirus Infection,Low-grade fever,Dehydration,Chills,General discomfort,Fever,,,,,,,,,,,
Mumps,Pain while chewing or swallowing,Fever,Tiredness,Trouble chewing,Testicle pain and tenderness,Fever,Headache,Muscle aches,Loss of appetite,,,,,,,
Norovirus Infection,Low-grade fever,Muscle aches,Nausea,Headache,Fatigue,Loss of appetite,Dehydration,Chills,General discomfort,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Headache,Fatigue,Loss of appetite,Rashes,Chills,Joint pain,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Bloody stools,Headache,Loss of appetite,Feverish,Rashes,Chills,Joint pain,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Stomach cramps,Headache,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Chills,Joint pain,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Muscle aches,Body aches,General discomfort,Joint pain,,,,
Roseola,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Headache,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,Rashes,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Mouth sores,Blisters,Fatigue,Headache,General discomfort,Mild fever,Difficulty swallowing,,,,,,,
Roseola,Rash,Fatigue,Swollen lymph nodes,Sore throat,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,,,,,
Norovirus Infection,Headache,Fatigue,Abdominal pain,Dehydration,Body aches,Rashes,Fever,,,,,,,,,
Roseola,Runny nose,Fatigue,Headache,Cough,Red eyes,Diarrhea,Vomiting,Loss of appetite,Body aches,Rashes,Chills,,,,,
Norovirus Infection,Low-grade fever,Loss of appetite,Chills,Rashes,General discomfort,Fever,,,,,,,,,,
Norovirus Infection,Vomiting,Muscle aches,Nausea,Headache,Abdominal pain,Loss of appetite,Dehydration,Body aches,General discomfort,Irritability,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Nausea,Fatigue,Abdominal pain,Body aches,Fever,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Bloody stools,Stomach cramps,Fatigue,Dehydration,Loss of appetite,Feverish,Rashes,General discomfort,,,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Headache,Fatigue,Dehydration,Rashes,General discomfort,,,,,,,,,
Norovirus Infection,Stomach cramps,Fatigue,Abdominal pain,Sweating,Rashes,General discomfort,Irritability,,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Vomiting,Stomach cramps,Fatigue,Dehydration,Loss of appetite,Feverish,Chills,Joint pain,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Fatigue,Loss of appetite,Sweating,Body aches,Rashes,General discomfort,Irritability,,,,,,
Roseola,High fever,Runny nose,Rash,Sore throat,Headache,Cough,Red eyes,Loss of appetite,Body aches,Rashes,Chills,Feverish,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Headache,Fatigue,Abdominal pain,Loss of appetite,Chills,Rashes,General discomfort,Irritability,,,,,
Shigellosis (Bacillary Dysentery),Stomach cramps,Dehydration,Loss of appetite,Muscle aches,Feverish,Rashes,General discomfort,Chills,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Rash on hands and feet,Sore throat,Blisters,Fatigue,Cough,Sore muscles,General discomfort,,,,,,,
Roseola,Rash,Irritability,Fatigue,Sore throat,Cough,Red eyes,Loss of appetite,Body aches,Chills,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Bloody stools,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,Rashes,Joint pain,,,,,,
Roseola,High fever,Runny nose,Irritability,Swollen lymph nodes,Sore throat,Headache,Cough,Vomiting,Loss of appetite,Body aches,Rashes,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Stomach cramps,Fatigue,Dehydration,Muscle aches,Feverish,Rashes,Chills,Joint pain,,,,,,
Roseola,Irritability,Swollen lymph nodes,Headache,Cough,Red eyes,Vomiting,Body aches,Chills,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Muscle aches,Headache,Abdominal pain,Loss of appetite,Body aches,General discomfort,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Irritability,Sore throat,Blisters,Headache,Mild fever,,,,,,,,,
Roseola,High fever,Cough,Diarrhea,Vomiting,Loss of appetite,Body aches,Chills,,,,,,,,,
Norovirus Infection,Vomiting,Headache,Dehydration,Sweating,Body aches,Rashes,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Stomach cramps,Fatigue,Dehydration,Body aches,Feverish,General discomfort,Chills,Joint pain,,,,,,,
Norovirus Infection,Vomiting,Fatigue,General discomfort,Fever,Irritability,,,,,,,,,,,
Roseola,High fever,Irritability,Headache,Red eyes,Diarrhea,Vomiting,Loss of appetite,Chills,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Nausea,Headache,Fatigue,Abdominal pain,Dehydration,Chills,Sweating,Rashes,General discomfort,Fever,,,,
